ProbeID,M,R1,R2,R3,R4,R5,Common Name
1418157_at,0.03,0.07,0.09,0.01,0.53,0.04,Nr2f1
1422232_at,0.05,0.21,0.01,0.04,4.79E-004,0.31,Phox2b
1434500_at,0.74,0.23,0.02,0.17,0.04,0.76,1110001A03Rik
1422068_at,6.59E-005,0.21,0.63,0.75,0.35,0.18,Pou3f1
1423526_at,0.74,0.09,0.21,0,0.02,0.08,Dri2
1429110_a_at,0.86,0.66,0.36,0.06,0.28,0.49,2810405F18Rik
1426571_at,8.18E-006,0.72,0.03,0.45,0.67,0.28,AU040576
1417862_at,5.33E-004,0.55,0.39,0.54,0.42,0.14,A830059I20Rik
1460187_at,0.04,0.77,0.55,0.66,0.08,5.14E-004,Sfrp1
1448147_at,0,8.65E-004,0.65,0.34,0.1,0.22,Tnfrsf19
1427105_at,0.63,0.02,0.85,0.79,0.08,0.81,2610510J17Rik
1423424_at,0.52,0.62,0.01,0.01,0.15,0.07,Zic3
1449314_at,0.75,0.51,0.71,0.97,0.1,0.79,Zfpm2
1460302_at,0.04,0.12,0.02,0.01,0.37,0.01,Thbs1
1416688_at,0.07,0.73,0.41,0.59,0.69,0.36,Snap91
1425483_at,0.1,0.82,0.3,0.01,0.07,0.01,Tox
1421369_a_at,0.01,0.43,0.46,0.41,0.34,0.18,Mab21l1
1433845_x_at,0.02,0.22,0.2,0.74,0.14,0.79,Dusp9
1460038_at,2.32E-005,0.32,0.69,0.34,0.1,0.26,NA
1423340_at,2.11E-004,0.48,0.58,0.11,0.31,0.13,Tcfap2b
1419573_a_at,0,0.32,0.52,0.29,0.37,0.11,Lgals1
1427682_a_at,0.16,0.15,0.17,0.35,0.07,7.98E-005,Egr2
1451047_at,8.45E-005,0.34,0.98,0.44,0.27,0.02,Itm2a
1450857_a_at,0.04,0.5,0.91,0.09,0.03,0,Col1a2
1417355_at,0.04,0.12,0.06,0.14,0.23,0.13,Peg3
1449053_s_at,0.43,0.35,0.29,0.04,0.31,0.24,Cog1
1416148_at,0.01,0.35,0.92,0.91,0.36,0.79,Laptm4b
1452718_at,0.58,0.74,0.1,0.02,0.23,0.38,4432411E13Rik
1418237_s_at,0.59,0.27,0.48,0.25,0.58,0.02,Col18a1
1450990_at,0.03,0.85,0.06,0,0.46,0.87,Gpc3
1449947_s_at,0,0.33,0.27,0.16,0.45,0.84,A230102L03Rik
1427981_a_at,0.63,0.26,0.16,0.34,0.37,0.52,Csad
1426258_at,0.73,0.52,0.17,0.83,0.01,0.67,Sorl1
1417680_at,1.75E-005,0.78,0.28,0.35,0.27,0.64,Kcna5
1460309_at,0,0.74,0.79,0.35,0.96,0.93,Tal2
1427633_a_at,0.19,0.82,0.37,0.41,0.97,0.05,Pappa
1433639_at,0.05,0.05,0.06,0.01,0.4,0.01,5730593F17Rik
1416617_at,0.28,0.3,0.05,0.03,0.95,0.31,Acas2l
1454708_at,6.95E-004,0.07,0.11,0.2,0.09,0.4,4833406P10Rik
1437052_s_at,0.55,0.1,0.01,0.01,0.91,0.76,Slc2a3
1417526_at,0,0.03,0.52,0.48,0.79,0.26,Pcbp3
1448383_at,0.03,0.34,0.11,0.24,0.7,0.05,Mmp14
1452421_at,0.34,0.55,0.35,0.41,0,5.73E-005,5730446D14Rik
1434479_at,0.06,0.81,0.86,0.26,0.1,0,Col5a1
1460256_at,0,0.87,0.28,0.58,0.88,0.93,Car3
1449530_at,0,0.02,0.18,0.8,0.27,0.93,Trps1
1448601_s_at,0.03,0.06,0.09,9.61E-004,0.31,0.07,Msx1
1425212_a_at,0.01,0.14,0.45,0.27,0.22,0.21,Tnfrsf19
1426980_s_at,9.51E-005,0,0.11,0.73,0.88,0.32,E130012A19Rik
1455350_at,0.81,0.57,0.52,0.88,0.04,0.08,B830009D23Rik
1423677_at,0.42,0.35,0.09,0.02,0.66,0.02,Fkbp9
1455792_x_at,0,0.06,0.39,0.24,0.52,0.72,Ndn
1416778_at,0.23,0.4,0.68,0.81,0.24,0.04,Sdpr
1419281_a_at,0.76,0.37,0.64,0.36,0.37,0.04,Zfp259
1419217_at,0.83,0.02,0.61,0.58,0.55,0.76,Gnefr-pending
1449319_at,0.33,0.13,0,0.23,0.75,0.13,R-spondin
1418451_at,0.81,0.04,0.17,0.04,0.18,0.02,Gng2
1419602_at,0.05,0.04,0.12,1.84E-004,0.03,0,Hoxa2
1449137_at,2.07E-004,0.97,0.21,0.84,0.44,0.45,Pdha1
1421425_a_at,0.37,0.37,0.41,0.44,0.67,2.06E-004,Dscr1l1
1425213_at,0.05,0.08,0.04,0.11,0.5,0.16,6430514L14Rik
1427100_at,0.02,0,0.13,0.64,0.17,0.22,1810034B16Rik
1422444_at,6.39E-004,0.14,0.06,0.34,0.29,0.19,Itga6
1420518_a_at,0,0.05,0.66,0.8,0.42,0.96,Igsf9
1439380_x_at,0.56,0.2,0.04,0.08,0.02,0.74,NA
1416612_at,0.12,0.93,0.12,0.04,4.51E-004,0.29,Cyp1b1
1423824_at,0,0.8,0.23,0.46,0.12,0.1,5031439A09Rik
1437195_x_at,0.74,0.01,0.05,0.4,0.54,0.26,Mapk10
1420427_a_at,0.01,0.49,0.69,0.73,0.28,0.75,AA408140
1449434_at,0,0.03,0.2,0.44,0.58,0.35,Car3
1426864_a_at,0.43,0.47,0.01,0.06,0.03,0.21,Ncam1
1424852_at,0.16,0.16,0.28,0.02,0.01,6.29E-004,5430401D19Rik
1431962_a_at,0.9,0.74,0.94,0.17,0.04,0.23,Stambp
1418599_at,0.26,0.8,0.11,0.13,0.4,0,Col11a1
1448321_at,0.06,0.05,0.02,0.03,0.34,0.22,Smoc1
1421929_at,0.04,0.05,0.03,6.70E-005,0.95,2.00E-004,Epha4
1427883_a_at,0.22,0.01,0.26,0.83,0.21,0.38,Col3a1
1418195_at,4.20E-004,0.76,0.28,0.88,0.09,0.7,Galnt9
1420484_a_at,0.08,0.09,0.01,0.37,0.03,0.55,Vtn
1418881_at,0,0.63,0.75,0.1,0.78,0.59,Necab2-pending
1433509_s_at,0.32,0.3,0.98,0.61,0.03,0.48,D6Ertd253e
1422164_at,0,0.04,0.27,0.93,0.56,0.26,Pou3f4
1421597_a_at,0.04,0.01,0.44,0.03,0.48,0.65,Msx3
1452670_at,0.24,0.85,0.99,0.01,0.9,0.11,Myl9
1418714_at,0.11,0.5,0.24,0.95,0.06,0.41,Dusp8
1418601_at,0.61,0.65,0.67,0.71,0.02,0,Aldh1a7
1438620_x_at,0.11,0.39,0.12,0.32,0.04,0.02,Sfrp1
1428853_at,0.26,0.08,0.13,0.29,0.08,0.03,A230106A15Rik
1417932_at,0.01,0.07,0.22,0.41,0.21,0.11,Il18
1435383_x_at,0,0.16,0.18,0.82,0.33,0.72,Ndn
1429360_at,0,0.08,0.99,0.56,0.79,0.45,Klf3
1449483_at,0.55,0.98,0.27,0.04,0.07,0.88,Polk
1416592_at,0,0.13,0.75,0.07,0.3,0.8,Glrx1
1460411_s_at,0.04,0.7,0.14,0.23,0.11,0.03,AI115348
1427640_a_at,0,0.41,0.52,0.18,0.78,0.48,Cbfa2t1h
1434403_at,0,0.03,0.24,0.25,0.3,0.55,Spred2
1451991_at,0.04,0.03,0.12,0.09,0.39,0.01,Epha7
1416594_at,0.03,0.79,0.71,0.3,0.07,0.01,Sfrp1
1426528_at,0.99,0,0.01,0.3,0.63,0.11,Nrp2
1449106_at,0.09,0.86,0.54,0.33,0,0.01,Gpx3
1425158_at,0.3,0.35,0.42,0.65,0.03,0.55,Tbx20
1454613_at,0,0.01,0.58,0.62,0.36,0.06,Ly6a
1448201_at,0.03,0.11,0.34,0.73,0.16,0.16,Sfrp2
1426929_at,0.02,0.3,0.5,0.82,0.37,0.6,Brunol4
1449559_at,0.04,0.06,0.1,0.43,0.1,0.27,Msx2
1452215_at,0.02,0.65,0.41,0.96,0.48,0.82,9130401M01Rik
1454822_x_at,0,0.82,0.1,0.03,0.35,0.25,EIG180
1436030_at,0,0.17,0.88,0.68,0.74,0.3,NA
1455493_at,0.83,0.88,0.88,0.61,0.09,0.47,NA
1415964_at,0.01,0.04,0.24,0.23,0.14,0.08,Scd1
1418666_at,0.04,0.01,0,0.07,0.41,0.05,Ptx3
1421841_at,0.03,0.03,0.03,0,0.01,0.03,Fgfr3
1419186_a_at,0.03,0.02,0.23,1.21E-004,0.03,9.62E-004,Siat8d; PST; PST-1; ST8SiaIV
1426298_at,0.25,0,0.08,0.01,0.24,0.33,Irx2
1448818_at,9.83E-005,2.59E-004,0.66,0.62,0.28,0.64,Wnt5a
1422824_s_at,0.84,0.78,0.21,0.32,0.81,0.51,Eps8
1418094_s_at,0.01,0.09,0.09,0.03,0.12,0.7,Car4
1427433_s_at,0.32,0.29,0.24,0.22,0.04,1.15E-007,5730446D14Rik
1422079_at,0.91,0,0.58,0.24,0.46,0.77,Prkch
1426766_at,0.17,0.12,0.44,0.01,0.11,5.44E-004,6330403K07Rik
1427256_at,0.62,0.09,0.16,0.41,0.9,0.01,Cspg2
1420928_at,0,0.01,0.87,0.47,0.25,0.48,Siat1
1417311_at,0,0.53,1,0.39,0.85,0.93,Crip2
1448785_at,0,0.97,0.19,0.42,0.66,0.94,Cbfa2t1h
1456741_s_at,0.01,0,0.06,0.38,0.18,0.11,App
1419248_at,0.01,0.08,0.93,0.27,0.14,0.44,Rgs2
1421365_at,0.03,0.34,0.06,0.76,0.01,0.47,Fst
1450044_at,0.03,0.97,0.06,0.35,0.84,0.11,Fzd7
1450927_at,0.85,0.01,0.64,0.91,0.12,0.45,Lztr1
1449351_s_at,0.01,0.74,0.2,0.48,0.61,0.17,Pdgfc
1434499_a_at,0,3.21E-004,0.55,0.85,0.88,0.36,Ldh2
1421341_at,0.03,0.77,0.92,0.64,0.51,0.46,Axin2
1415885_at,0.02,0.1,0.12,0.75,0.02,0.16,Chgb
1417928_at,3.26E-004,0,0.09,0.4,0.29,0.41,Ril-pending
1418208_at,2.36E-004,0.01,0.26,0.18,0.74,0.3,Pax8
1418620_at,0.01,0.79,0.69,0.91,0,0.31,Phox2a
1420719_at,0,0.88,1,0.63,0.83,0.48,Tex15
1419088_at,0.27,0.3,0.37,0.56,0.02,0.05,Timp3
1417893_at,0.12,0.98,0.63,0.91,0.98,0.36,Sfxn3
1448562_at,0.05,0.05,0.29,0.01,0.02,0.3,Upp
1417129_a_at,0.24,0.02,0.09,0,0.2,0.04,Mrg1
1448991_a_at,0,0.59,0.23,0.42,0.07,0.06,MGC25352
1427605_at,0.3,0.41,0.26,0.09,6.63E-005,0,Hoxb3
1421028_a_at,0.18,0.89,0.53,0.09,0.01,0.04,Mef2c
1427257_at,0.79,0.8,0.43,0.25,0.58,0,Cspg2
1437722_x_at,0.03,0.05,0.54,0.71,0.26,0.54,Pcbp3
1421523_at,7.14E-006,0.01,0.39,0.7,0.99,0.75,Fgf17
1424351_at,2.20E-005,0,0.55,0.45,0.66,0.14,1600023A02Rik
1436026_at,0.03,0.04,0.05,0.04,0.25,0.33,1110032O19Rik
1428097_at,0,0.01,0.8,0.95,0.34,0.08,2510009E07Rik
1415877_at,2.47E-004,0,0.38,0.7,0.32,0.08,Dpysl3
1422445_at,0.01,0.44,0.13,0.32,0.15,0.82,Itga6
1455089_at,0.07,0.17,0.6,0.68,0.96,0,2010305F15Rik
1418618_at,0,9.80E-006,0.87,0.36,0.85,0.43,En1
1429761_at,0.31,0.58,0.21,0.05,0.02,0.57,Rtn1
1449439_at,0,0.3,0.86,0.61,0.1,0.2,Klf7
1418835_at,0.01,0.86,0.01,0.96,0.34,0.13,Phlda1
1449465_at,0.19,0.4,0.02,0.33,0.06,0.17,Reln
1427101_at,0.03,0,0.48,0.71,0.15,0.33,1810034B16Rik
1450725_s_at,0,0.01,0.29,0.94,0.83,0.24,Car14
1427302_at,2.50E-005,0.9,0.22,0.84,0.54,0.2,Enpp3
1428146_s_at,0.84,0.08,0.17,0.11,0.43,0.02,Acaa2
1448194_a_at,0.03,0.05,0.93,0.08,0.68,0.69,H19
1449545_at,0,8.46E-004,0.94,0.84,0.32,0.23,Fgf18
1423972_at,0.01,0.12,0.08,0.07,0.32,0.2,Etfa
1416159_at,0.04,0.38,0.09,0.04,0.16,0.03,Nr2f2
1420649_at,6.59E-004,0.1,0.96,0.27,0.2,0.76,Atbf1
1451461_a_at,0.24,0.46,0.43,0.04,5.75E-006,0.39,Aldo3
1417521_at,9.81E-004,0.01,0.69,0.33,0.57,0.61,Efna2
1423259_at,0.07,5.57E-005,0.07,0.96,0.9,0.4,Idb4
1423608_at,0,0.53,0.16,0.37,0.22,0.02,Itm2a
1422837_at,0.38,0.87,0.19,0.26,0.71,0.87,Scel
1423938_at,0.23,0.95,0.19,0.67,0.13,0.94,LOC217325
1416503_at,0.96,0.05,0.76,0.03,0.78,3.48E-004,Lxn
1422914_at,2.82E-008,0.28,0.64,0.19,0.21,0.22,Sp5
1416158_at,0.04,0.08,0.03,0.08,0.09,0.01,Nr2f2
1426522_at,0.01,0.01,0.99,0.14,0.85,0.14,4930479F15Rik
1416840_at,0.12,0.53,0.42,0.85,0.46,0.03,3110038L01Rik
1450982_at,0.43,0.27,0.4,0.65,0.2,0.05,Slc9a3r1
1425536_at,0,0.42,0.36,0.48,0.91,0.7,Stx3
1426255_at,0.67,0.14,0.01,0.53,0.01,0.04,Nefl
1452913_at,1.43E-004,0,0.93,0.68,0.72,0.25,1500036F01Rik
1456239_at,8.48E-004,0,0.31,0.52,0.27,0.26,Fgf17
1423110_at,0.08,0.57,0.74,0.92,0.26,0.01,Col1a2
1416160_at,0.04,0.05,0.03,0.01,0.7,0.02,9430015G03Rik
1421728_at,0.04,0.97,0.25,0.01,0.65,0.05,Olig3
1422520_at,0.67,0.34,0.01,0.98,0.04,0.05,Nef3
1451857_a_at,2.68E-004,0.03,0.68,0.21,0.25,0.26,5730593N15Rik
1455158_at,0.69,0.02,0.41,0.33,0.44,0.27,Itga3
1431335_a_at,8.01E-005,0.54,0.87,0.65,0.82,0.68,Wfdc1; ps20; 2310058A03Rik
1448134_at,0.24,0.2,0.8,0.02,0.02,5.62E-006,Pald
1451983_at,0.01,1.14E-004,0.18,0.12,0.15,0.32,Irx1
1448992_at,0,0.3,0.05,0.81,0.01,0.1,MGC25352
1436791_at,6.50E-005,1.37E-005,0.54,0.31,0.38,0.52,Wnt5a
1423281_at,5.37E-004,0.39,0.04,0.99,0.08,0.06,Stmn2
1423753_at,0.41,2.65E-005,0.05,0.12,0.25,0.03,Bambi
1424059_at,0.19,0.01,0.49,0.34,0.75,0.72,MGC36471
1436584_at,0,4.03E-005,0.42,0.08,0.73,0.67,Spry2
1422758_at,4.18E-004,0,0.26,0.28,0.58,0.63,Chst2
1427528_a_at,0.06,0.06,0.28,0,0.26,0.02,Epha7
1453486_a_at,0.04,0.03,0.06,1.34E-004,0.96,0.12,Cegf1
1418934_at,3.61E-004,0.19,0.2,0.21,0.86,0.13,Mab21l2
1416178_a_at,0.61,0.88,0.66,0.31,0.41,0.01,Plekhb1
1448326_a_at,0.07,0.02,0.67,0.04,0.01,3.94E-004,Crabp1
1416710_at,0.11,0.1,0.94,0,0.03,3.44E-004,9030603L14Rik
1415834_at,9.51E-004,0.01,0.18,0.06,0.35,0.41,Dusp6
1459916_at,7.25E-004,4.14E-004,0.54,0.33,0.49,0.24,NA
1423280_at,2.36E-004,0.5,0.02,0.9,0.01,0.07,Stmn2
1422643_at,0.05,0.04,9.91E-004,9.94E-004,3.76E-004,0.1,3230402N08Rik
1438789_s_at,5.28E-004,0.01,0.74,0.29,0.03,0.39,Dpysl3
1417416_at,0,0.27,0.33,0.2,0.98,1.32E-004,Kcna1
1418868_at,0,6.26E-004,0.34,0.23,0.7,0.26,En2
1448816_at,0.01,0.02,0.16,0.75,0.27,0.09,Ptgis
1415874_at,1.27E-004,0,0.95,0.24,0.15,0.26,Spry1
1423836_at,0.82,0.03,0.27,0.01,0.37,0.02,B830002A16Rik
1451414_at,0.25,0.39,0.39,0.63,0.22,0.9,D13Wsu177e
1417568_at,0.23,0.4,0.05,0.02,0.05,0.22,D030020D09Rik
1450333_a_at,0.2,0.54,0.52,0.14,5.25E-005,0.66,Gata2
1421836_at,0.78,0.07,0.13,0.01,0.57,5.32E-004,Mtap7
1448237_x_at,6.02E-004,5.67E-004,0.75,0.23,0.62,0.52,Ldh2
1419271_at,0.04,0.02,0.05,0,0.08,0.01,Pax6
1417624_at,0.11,0.08,0.2,0,0.01,5.66E-004,Nab1
1421537_at,0.72,0.78,0.7,0.82,0.42,6.61E-005,Hoxd3
1423739_x_at,0.73,0.36,0.78,0.92,0.59,0,Aplp2
1427683_at,0.21,0.17,0.36,0.07,0.05,7.88E-004,Egr2
1416526_a_at,0.03,0.06,0.1,0.1,0.35,0.05,Park7
1460444_at,0.08,0.89,0.04,0.03,0.15,0.16,1200006I17Rik
1418382_at,0,0.72,0.26,0.19,0.35,0.39,EIG180
1448260_at,5.18E-004,0.25,0.18,0.89,0.32,0.16,Uchl1
1417818_at,0.11,0.92,0.13,0.01,0.6,0,NA
1449420_at,0.01,0.01,0.4,0.45,0.83,0.09,Pde1b
1420746_at,0.6,0.99,0.44,0.83,0.23,0.82,1600016E11Rik
1417817_a_at,0.13,0.8,0.2,0.05,0.45,0,2310058J06Rik
1449110_at,0.01,0.3,0.94,0.3,0.26,0.85,Arhb
1450517_at,7.73E-008,0.17,0.28,0.22,0.18,0.24,Tal2
1449397_at,0.05,0.04,0.03,4.23E-004,9.50E-005,3.32E-005,AI894218
1425506_at,2.00E-005,0,0.82,0.33,0.69,0.77,9530072E15Rik
1454159_a_at,1.32E-005,0.12,0.29,0.33,0.12,0.23,Igfbp2
1425926_a_at,5.00E-004,0.24,0.05,0.3,0.27,0.1,Otx2
1416107_at,0.89,0.02,0.25,0.3,0.64,1.15E-004,Nsg2
1421180_at,4.29E-004,0.01,0.09,0.11,0.06,0.08,Lix1
1416536_at,2.84E-004,0.9,0.71,0.84,0.15,0.68,9430059D04Rik
1418383_at,1.21E-005,0.62,0.9,0.44,0.34,0.4,EIG180
1417954_at,0,1.79E-004,0.19,0.62,0.31,0.07,Sst
1453004_at,0.23,0.01,0.95,0.72,0.33,0.14,3110004L20Rik
1452526_a_at,0.06,0.06,0.06,0,0.19,6.05E-004,Pax6
1448395_at,0.03,0.28,0.87,0.27,0,0,Sfrp1
1418376_at,2.14E-008,3.49E-005,0.64,0.84,0.3,0.54,Fgf15
1424586_at,1.39E-006,0.81,0.4,0.76,0.62,0.72,LOC216565
1453501_at,0.36,0.34,0.99,0,7.45E-004,0.01,Hoxb1
1422798_at,8.41E-005,0.13,0.08,0.48,0.13,0.07,Cntnap2
1418895_at,0.07,0.75,0.22,0.11,0.1,0.01,Scap2
1420619_a_at,6.62E-008,0,0.04,0.89,0.21,0.24,Aes
1421928_at,0.03,0.03,0.15,2.18E-004,0.29,9.92E-005,Epha4
1450992_a_at,0.03,0.04,0.02,0,0.09,0.02,NA
1451882_a_at,1.18E-006,0,0.16,0.13,0.22,0.16,Fgf8
1418756_at,1.73E-005,0.24,0.33,0.26,0.33,0.19,Trh
1449070_x_at,9.90E-005,0.14,0.1,0.02,0.21,0.4,EIG180
